lambda_1, lambda_2, entropy
0.55, 0.70, 10.607381600648784
0.55, 0.75, 10.605236128972384
0.55, 0.80, 10.603788657674095
0.55, 0.85, 10.603283572169616
0.55, 0.90, 10.604160551699627
0.55, 0.95, 10.607488250428766
0.60, 0.05, 10.60584996279906
0.60, 0.10, 10.603312476287826
0.60, 0.15, 10.600248557578379
0.60, 0.20, 10.596851623705016
0.60, 0.25, 10.593246318151635
0.60, 0.30, 10.58952349604532
0.60, 0.35, 10.585755421806974
0.60, 0.40, 10.582003776744513
0.60, 0.45, 10.578324593492537
0.60, 0.50, 10.57477181999898
0.60, 0.55, 10.571400395033448
0.60, 0.60, 10.568269456196935
0.60, 0.65, 10.565446334416741
0.60, 0.70, 10.563012326501962
0.60, 0.75, 10.561072161668443
0.60, 0.80, 10.559771565655911
0.60, 0.85, 10.559335020290481
0.60, 0.90, 10.56016633404818
0.60, 0.95, 10.563246535647208
0.65, 0.05, 10.561686612627138
0.65, 0.10, 10.559330883808945
0.65, 0.15, 10.55650775245273
0.65, 0.20, 10.553388716872679
0.65, 0.25, 10.550084853968132
0.65, 0.30, 10.546677510817728
0.65, 0.35, 10.54323169106625
0.65, 0.40, 10.539803137517069
0.65, 0.45, 10.536442719951397
0.65, 0.50, 10.533199627355662
0.65, 0.55, 10.530124146936837
0.65, 0.60, 10.527270587882482
0.65, 0.65, 10.52470094585789
0.65, 0.70, 10.522490219970495
0.65, 0.75, 10.520735150020798
0.65, 0.80, 10.519570441540033
0.65, 0.85, 10.519203655224425
0.65, 0.90, 10.520008128634094
0.65, 0.95, 10.522890539799786
0.70, 0.05, 10.521414285557267
0.70, 0.10, 10.519227821145442
0.70, 0.15, 10.516623110265787
0.70, 0.20, 10.513753546037675
0.70, 0.25, 10.510718950132611
0.70, 0.30, 10.507592748341589
0.70, 0.35, 10.504433869008658
0.70, 0.40, 10.501293063441578
0.70, 0.45, 10.498216841630278
0.70, 0.50, 10.495250355343181
0.70, 0.55, 10.492439928798511
0.70, 0.60, 10.48983574234011
0.70, 0.65, 10.487495216160927
0.70, 0.70, 10.485487937682537
0.70, 0.75, 10.48390377348006
0.70, 0.80, 10.482867944788016
0.70, 0.85, 10.482573452345619
0.70, 0.90, 10.483367430847649
0.70, 0.95, 10.486092680161724
0.75, 0.05, 10.484707338764833
0.75, 0.10, 10.482683581134875
0.75, 0.15, 10.48028301154728
0.75, 0.20, 10.47764385872632
0.75, 0.25, 10.474856478964663
0.75, 0.30, 10.471987610743485
0.75, 0.35, 10.46909103326649
0.75, 0.40, 10.466213249911744
0.75, 0.45, 10.463397044763896
0.75, 0.50, 10.460684105117352
0.75, 0.55, 10.458117341363376
